what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371462754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371463022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371490080
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476371490793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371490801
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476371491380
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476371491858
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476371494134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371538355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371548345
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476371557139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1476371597404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1476371598746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371601816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371631220
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476371633194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371637211
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476371638432
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1476371638475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1476371638475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371638483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371640548
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1476371641424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1476371641424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371641430
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476371643800
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476371643857
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476371643883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371648597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371657746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371657776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371659333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371663692
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476371665582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371665593
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476371666201
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476371666678
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476371668962
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476371671573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1476371672747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476371674909
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476371677196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476371680949
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476371681555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371683258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371683935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371695384
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476371696115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371696121
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476371696800
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476371697282
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476371699553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371733331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371799651
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476371800320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371804138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371835559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476371838845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371842217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371843427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371844450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371908375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371928873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371929683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371930674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371943346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371954569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371957029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371961393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371963211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371982753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476371991803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476372000170
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476372001131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372003888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372004614
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476372007118
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476372011851
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476372020990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372025594
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476372026276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372026281
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476372026841
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476372027321
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476372029606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372132313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372240432
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476372242015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372243664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372257048
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476372257627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1476372258504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476372259582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1476372312849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476372325698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476372341891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476372350050
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476372361415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372364611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372364953
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476372367614
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476372373999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372376300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372376591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372380994
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476372381560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372381568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372381610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372384186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372389280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372389593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372393715
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476372394373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372394379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372394416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372396674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372397513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372401849
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476372401870
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476372402350
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476372404638
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476372406317
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476372408017
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476372408032
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476372416765
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1476372423794
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476372424384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372426845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372427372
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476372430618
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476372432546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476372450004
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476372450735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372453196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476372453635
