what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1476716594845
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1476716594845
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1476716594846
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1476716594846
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1476716594847
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1476716594848
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1476716594848
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1476716594849
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1476716594849
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1476716594850
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1476716594850
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1476716594850
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1476716594851
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1476716594851
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1476716594851
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1476716594851
os,sysinfo,,,"linux",1476716594854
arch,sysinfo,,,"x86",1476716594854
ws,sysinfo,,,"gtk",1476716594854
locale,sysinfo,,,"en_US",1476716594854
processors,sysinfo,,,"4",1476716594854
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1476716594854
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1476716594854
java.specification.name,sysinfo,,,"Java Platform API Specification",1476716594854
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1476716594854
java.specification.version,sysinfo,,,"1.6",1476716594854
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1476716594854
java.version,sysinfo,,,"1.6.0_23",1476716594854
java.vm.info,sysinfo,,,"mixed mode",1476716594854
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1476716594854
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1476716594854
