what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1476436178845
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1476436178882
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476436179001
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1476436179175
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1476436179241
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1476436179242
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1476436179243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436179854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436226291
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476436233076
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436234642
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436234712
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476436234723
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436235923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436240290
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436241891
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436241892
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1476436241905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436241957
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476436243720
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436243836
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436243881
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476436243892
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436255539
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436255588
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436255588
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476436262098
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1476436265319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436270717
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436271894
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1476436271931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1476436271931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436271940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436274513
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1476436275433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1476436275433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436275441
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436278242
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436278300
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476436278325
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436280226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476436286729
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476436287584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436289544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436295403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436296005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436297754
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1476436300289
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1476436300293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436301311
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476436303121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436303133
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1476436303168
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476436303948
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1476436304188
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1476436304221
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476436307138
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476436318954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1476436320156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476436321861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476436324038
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476436324748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436327934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436328822
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476436331268
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476436332845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436335271
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476436335979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436335987
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476436336586
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476436337061
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476436340087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476436971605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476437058693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476437136727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476437221486
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476437222904
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476437331852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476437340941
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476437342285
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476437342285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476437342303
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476437343755
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476437343868
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476437343923
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476437343940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476437556867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476437888369
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476437890435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476438406767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476438572815
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476438572837
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476438577218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476438591504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476438777334
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476438777499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476438802663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476441101734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476441102726
