what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477306380520
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477306380520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306387238
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1477306389332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1477306389332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306389339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306391886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306461822
started,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1477306464516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306465783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306536438
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477306539515
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477306539573
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477306539594
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477306540632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1477306541539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306544838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306549098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1477306550618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477306552299
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477306553150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306555501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306563262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306563822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306565564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306578836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477306644360
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477306651456
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477306651507
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477306651520
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477306652359
