what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1476448611926
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1476448611926
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1476448611927
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1476448611928
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1476448611929
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1476448611929
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1476448611930
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1476448611930
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1476448611931
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1476448611932
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1476448611932
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1476448611933
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1476448611934
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1476448611935
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1476448611935
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1476448611936
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1476448611936
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1476448611936
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1476448611936
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1476448611937
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1476448611937
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1476448611937
os,sysinfo,,,"linux",1476448611940
arch,sysinfo,,,"x86",1476448611940
ws,sysinfo,,,"gtk",1476448611940
locale,sysinfo,,,"en_US",1476448611940
processors,sysinfo,,,"4",1476448611940
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1476448611940
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1476448611940
java.specification.name,sysinfo,,,"Java Platform API Specification",1476448611940
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1476448611940
java.specification.version,sysinfo,,,"1.6",1476448611940
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1476448611940
java.version,sysinfo,,,"1.6.0_23",1476448611940
java.vm.info,sysinfo,,,"mixed mode",1476448611940
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1476448611940
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1476448611940
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1476448611940
java.vm.specification.version,sysinfo,,,"1.0",1476448611940
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1476448611940
java.vm.version,sysinfo,,,"19.0-b09",1476448611940
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476448617305
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1476448617359
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476448617361
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1476448617373
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476448621631
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1476448622016
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1476448622062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1476448624973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1476448628616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476448629118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476448629152
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476448633183
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476448633240
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476448633257
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476448644482
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476448644527
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476448644527
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476448654902
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476448654921
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1476448655885
