what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477571826461
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1477571826757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477571829135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477571838823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477571839144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477571840792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477571844083
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1477571850580
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1477571858890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477571859027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477571859039
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1477571870977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477571870992
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477571871986
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1477571872129
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1477571872138
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1477571872194
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477571874966
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477571881781
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477571881955
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477571882003
