what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373664013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373664592
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373666905
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373668751
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373668766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373670196
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373674890
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373674965
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373674980
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373676453
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373676465
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373677428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476373681006
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476373681458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373684310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373684783
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373698854
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1476373699260
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1476373701724
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1476373702892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373706691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373708139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1476373716999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476373722725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476373728206
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476373728634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373730193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373730804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373736722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373770806
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373776831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476373799168
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476373799662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373801358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373801917
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373817180
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373817242
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373817257
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373821036
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373821048
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373821955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476373826908
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476373828416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373830090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373830873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373831181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373832417
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373834622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373835866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373925748
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476373929451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373933976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373947107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373951705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373959123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373959679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373961186
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1476373967153
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476373972651
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476373973895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373977969
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476373978695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476373978702
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476373979311
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476373979786
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476373982464
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1476374021652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476374028324
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476374028778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476374037754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476374038643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476374044947
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1476374045572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476374045579
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476374046196
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476374046723
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1476374049355
