what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1478264373235
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478264379900
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478264383771
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478264385606
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478264385606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1478264394401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1478264407484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1478264412993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1478264417753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1478264421953
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1478264423695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264427554
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1478264428367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264428399
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1478264430297
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1478264433638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264436588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264436877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264442968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264443203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264447056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264472432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264477308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264477633
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478264481481
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1478264486636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264488450
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1478264489013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264489023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264489107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264493820
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1478264494983
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1478264495459
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1478264498171
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1478264515882
closed,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1478264515889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264517023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264749040
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1478264752259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264756260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478264756611
